id	name	artist	credit	type	source	tags
008.png	Excited	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, explain, energy
009.png	Happy	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, smile
010.png	Hehe	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, funny
011.png	Ponder	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, thinking, wonder, thought
012.png	Smuggy	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, smug
013.png	Thumbs  Up	Hinatsu_sd @Hinatsu_sd		still	fan-made	retro, agree, ok, okay, sure, yes
014.png	Smug	Inky @inky1vory	https://x.com/inky1vory/status/1764492746784727317	still	fan-made	retro, smile
015.png	Jkterjter	KiFé @kifecreations		still	fan-made	retro, meme, funny, joke
016.png	Nervous Laugh	KiFé @kifecreations		still	fan-made	retro, shrug
017.png	Snuggly	KiFé @kifecreations		still	fan-made	retro, comfy, blanket, snug
018.png	Cross	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, scared, christ, exorcist
019.png	Drewl	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, lewd, horny, heart eyes, love, blush
020.png	Dumdum	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, dumb, idiot, spongebob, patrick
021.png	Hah	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, insane, evil, laugh
022.png	Ketchup	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, release, horny, lewd
023.png	Read	XanaduAvici @XanadauAvici	https://x.com/XanaduAvici/status/1826883714812416414	still	fan-made	retro, scared, reading, wtf
024.gif	DAD Dance	Hoopyon @hoopyon	https://x.com/dokibirdsquad/status/1808546075269013705	animated	fan-made	dad, doge, dance, meme
025.gif	Gifted	Hoopyon @hoopyon	https://x.com/dokibirdsquad/status/1808546075269013705	animated	fan-made	bounty, hunter, gift, box, prize, money
026.gif	Wild West	Hoopyon @hoopyon	https://x.com/dokibirdsquad/status/1808546075269013705	animated	fan-made	bounty, hunter, dad, doge, dragoon, stare, scared
027.gif	Tomato Royale	Hoopyon @hoopyon	https://x.com/dokibirdsquad/status/1808546075269013705	animated	fan-made	bounty, hunter, tomato, gun, apex, shoot, kill
028.gif	Moneybags	Hoopyon @hoopyon	https://x.com/dokibirdsquad/status/1808546075269013705	animated	fan-made	bounty, hunter, rob, stole, prize, money, gift
029.png	Capping	Aark22 @aark_22	https://x.com/aark_22/status/2015502346806247700	still	fan-made	dad, doge, sus, dexter
030.png	Dentge	Aark22 @aark_22	https://x.com/aark_22/status/2015502346806247700	still	fan-made	tomato, derp, silly
031.png	Lock In	Aark22 @aark_22	https://x.com/aark_22/status/2015502346806247700	still	fan-made	bounty, hunter, aimbot, target
032.png	Omegalol	Aark22 @aark_22	https://x.com/aark_22/status/2015502346806247700	still	fan-made	dragoon, laughing, lol, funny, joke
033.png	Monkas	Aark22 @aark_22	https://x.com/aark_22/status/2015502346806247700	still	fan-made	bounty, hunter, frightened, scared, sweat, tense
034.png	RIP	Aark22 @aark_22	https://x.com/aark_22/status/2015502346806247700	still	fan-made	tomato, dead, died, tombstone
